scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
77,4,1,1,1,0,0,0.148128,0.003629,0.000236,77,5.3054,
78,3,1,1,1,1,1,0.399189,0.003629,0.000163,78,0.2763,
79,8,1,1,1,0,0,0.014653,0.000021,0.001090,79,5.4258,
80,5,1,1,1,0,0,0.088130,0.000015,0.000402,80,5.3305,
81,1,1,1,1,0,0,inf,0.000013,0.000055,81,5.1879,
82,7,1,1,1,1,1,0.098894,0.003629,0.000485,82,0.4117,
83,2,1,1,1,1,1,0.298141,0.000021,0.000236,83,0.2216,
84,1,1,1,1,1,1,inf,0.000010,0.000045,84,0.2016,
85,2,1,1,1,0,0,0.951788,0.003629,0.000163,85,5.2084,
86,2,1,1,1,0,0,0.336939,0.000010,0.000000,86,5.1555,
87,5,1,1,1,1,1,0.031804,0.003629,0.000163,87,0.3558,
88,3,1,1,1,0,0,0.308135,0.000012,0.000479,88,5.2772,
89,2,1,1,1,0,0,0.098661,0.000021,0.000236,89,5.2282,
90,4,1,1,1,0,0,0.098759,0.000011,0.000155,90,5.2866,
91,1,1,1,1,0,0,inf,0.003629,0.000163,91,5.1687,
92,4,1,1,1,0,0,0.364488,0.003629,0.000163,92,5.2574,
93,3,1,1,1,1,1,0.269090,0.003629,0.000193,93,0.3041,
94,6,1,1,1,0,0,0.136530,0.003629,0.000515,94,5.3657,
95,4,1,1,1,0,0,0.022848,0.003629,0.000408,95,5.2960,
96,5,1,1,1,0,0,0.029722,0.000010,0.000017,96,5.3007,
97,4,1,1,1,1,1,0.229634,0.003629,0.000163,97,0.2756,
98,3,1,1,1,0,0,0.426219,0.000011,0.000094,98,5.2587,
99,6,1,1,1,1,1,0.086616,0.003629,0.000528,99,0.3865,
100,6,1,1,1,0,0,0.090079,0.000014,0.000095,100,5.3242,
101,4,1,1,1,1,1,0.305807,0.003629,0.000163,101,0.2869,
102,7,0,0,0,0,0,-0.017385,,,102,0.0087,
103,3,1,1,1,1,1,0.153651,0.003629,0.000163,103,0.3274,
104,1,1,1,1,1,1,inf,0.000012,0.000091,104,0.2805,
105,1,1,1,1,0,0,inf,0.000010,0.000047,105,5.1757,
106,4,1,1,0,0,0,0.169294,0.000014,0.000091,106,0.2930,
107,7,1,1,1,1,1,0.062774,0.000021,0.001316,107,0.4795,
108,1,1,1,1,1,1,inf,0.000011,0.000048,108,0.2596,
109,7,1,1,0,0,0,0.002888,0.000013,0.000516,109,0.3884,
110,3,1,1,0,0,0,0.153629,0.000011,0.000951,110,0.2596,
111,7,0,0,0,0,0,-0.016732,,,111,0.0077,
112,5,1,1,1,0,0,0.135033,0.000013,0.000098,112,5.3036,
113,5,0,0,0,0,0,-0.003153,,,113,0.0056,
114,1,1,1,1,1,1,inf,0.000012,0.000966,114,0.2482,
115,2,1,1,1,1,1,0.428221,0.003629,0.000228,115,0.2433,
116,3,1,1,1,1,1,0.397101,0.003629,0.000163,116,0.2878,
117,6,1,1,1,0,0,0.045000,0.003629,0.000236,117,5.3339,
118,6,1,1,1,1,1,0.065353,0.003629,0.000236,118,0.3858,
119,5,1,1,1,1,1,0.162145,0.000014,0.000517,119,0.3590,
120,2,1,1,1,0,0,0.366793,0.000021,0.000496,120,5.2380,
121,2,1,1,1,0,0,1.071962,0.003629,0.000163,121,5.2172,
122,2,1,1,1,1,1,0.489328,0.000013,0.000082,122,0.2770,
123,8,1,1,1,0,0,0.039267,0.003629,0.000236,123,5.3925,
124,4,1,1,1,0,0,0.094856,0.000021,0.000262,124,5.3005,
125,3,1,1,0,0,0,0.075976,0.000011,0.000125,125,0.2463,
126,4,1,1,1,1,1,0.082989,0.000021,0.000317,126,0.2854,
127,2,1,1,1,1,1,0.328043,0.000021,0.000236,127,0.2941,
128,5,1,1,1,0,0,0.254386,0.003629,0.000441,128,5.3251,
129,3,1,1,1,0,0,0.282656,0.000011,0.000091,129,5.2468,
130,4,1,1,1,0,0,0.049901,0.000012,0.000091,130,5.2795,
131,5,1,1,1,1,1,0.042794,0.000011,0.000711,131,0.3185,
132,8,1,1,1,1,1,0.053852,0.000011,0.000647,132,0.4764,
133,8,1,1,1,0,0,0.059347,0.003629,0.000666,133,5.4756,
134,8,1,1,1,0,0,0.051248,0.000021,0.000236,134,5.4530,
